violent_crimes,property_crimes,drug_crimes,recent_crimes,street_hazards,encampments,needles_reported,blocked_sidewalks,hour,is_night,is_weekend,lighting_quality,sidewalk_width,pedestrian_traffic,nearest_safe_haven_distance,cctv_coverage,escape_routes,is_unsafe
5,24,1,2,6,1,0,0,19,0,1,0.3398655510184553,2.1601966035445916,0.6812707907198206,226.28892548282585,1,3,0
0,0,0,0,0,0,0,0,19,0,1,0.2068703076794055,3.099902577226171,0.6316320242461769,445.4939174934897,0,2,0
0,6,0,4,3,0,0,0,19,0,1,0.23378617525845558,1.8319081164791473,0.10936867544628881,256.4603092137331,1,4,0
0,0,0,0,0,0,0,0,19,0,1,0.2608084254792403,1.7986502523222843,0.35749241979543944,444.7611670718272,0,4,0
6,6,1,3,9,2,0,0,19,0,1,0.34200327067663083,3.174820882080193,0.10234907967744877,394.11201149169204,0,4,0
0,1,0,0,2,0,0,0,19,0,1,0.4866692812124249,2.0703775798659256,0.19579677202680568,80.71060610046436,1,2,0
0,7,0,0,2,0,0,0,19,0,1,0.5623518336097301,3.2152454691089325,0.3336128048293945,450.22665912272004,1,5,0
4,18,2,1,18,0,0,0,19,0,1,0.9735843381529198,3.122981014683786,0.6347357409589095,240.37800018859033,1,3,0
3,6,0,4,0,0,0,0,19,0,1,0.26117094477513003,1.5697199415828074,0.7724702079400424,254.48787641142704,1,2,1
1,12,0,0,1,0,0,0,19,0,1,0.6345848598252162,1.2922900383352067,0.8404830865499187,356.68908014541387,1,4,0
0,0,0,0,0,0,0,0,19,0,1,0.5428581724387938,2.8458275574213814,0.4254856735520399,409.8167137452201,1,4,0
0,4,2,0,1,0,0,0,19,0,1,0.4789274644076572,1.219029541858459,0.9399471027749201,74.95520987298326,0,3,0
0,1,0,0,2,0,0,0,19,0,1,0.1068789011771265,1.2555646943342558,0.7195589887509531,326.3024042014995,0,4,0
2,3,1,0,1,0,0,0,19,0,1,0.3253670546210463,2.413980614547885,0.9901718474573976,88.49826745995685,1,1,0
3,2,0,0,1,1,0,0,19,0,1,0.5410354569625058,1.2039814106660125,0.31739208237215233,267.46858964688386,0,4,0
0,0,0,0,0,0,0,0,19,0,1,0.43425619637860446,1.5640343299343002,0.02350146090447225,189.42861420638602,0,5,0
4,6,0,1,3,0,0,0,19,0,1,0.741087056507034,2.59724204833539,0.26503140445403295,318.23066490233646,1,5,0
3,3,0,1,3,0,0,0,19,0,1,0.8334290620054584,3.443503792689654,0.635625060949558,210.20811796759125,0,1,0
0,0,0,0,0,0,0,0,19,0,1,0.6573889571198565,1.6369935758127256,0.6194161607547501,334.18182096896857,0,1,0
0,0,0,0,0,0,0,0,19,0,1,0.9587044159880677,3.475251026186755,0.07994722506039942,441.3383208085238,0,1,0
0,4,0,1,7,0,0,0,19,0,1,0.6092361741690617,1.7238753329422876,0.03094978891383149,389.5368621551507,0,4,0
0,0,0,0,0,0,0,0,19,0,1,0.4740121360619588,3.1644848214450887,0.30823682998509006,312.36158440193674,1,2,0
0,0,0,0,0,0,0,0,19,0,1,0.8469941834385203,1.5051141823017224,0.07051647284916807,214.12565379277945,0,2,0
1,9,0,0,0,0,0,0,19,0,1,0.7420422526272082,2.685329096163361,0.6999173298398899,236.48094012977543,0,2,0
0,0,0,0,0,0,0,0,19,0,1,0.9246599839841355,2.1547056341756594,0.6585673866611552,142.76704357979656,1,4,0
4,8,0,1,4,0,0,0,19,0,1,0.8928687032612717,2.4428758211246704,0.7094285275997605,305.01130959200594,0,4,0
0,0,0,0,5,0,0,0,19,0,1,0.664627845654221,3.130016936089482,0.0313045861753547,154.35690946510647,0,1,0
0,0,0,0,0,0,0,0,19,0,1,0.9734654512198053,3.1656110229843817,0.8753699442328299,134.25609498897745,0,1,0
0,0,0,0,0,0,0,0,19,0,1,0.5644427533100355,3.0246488598672157,0.6154170373340572,194.71433621084444,0,1,0
1,1,0,0,0,0,0,0,19,0,1,0.591310807722845,2.1597967688481337,0.4408814257413225,60.55060658508333,0,5,0
0,0,0,0,0,0,0,0,19,0,1,0.5579782781785644,2.182368865422616,0.4569252087845337,143.82931697746287,0,1,0
0,1,0,0,0,0,0,0,19,0,1,0.97418975571362,2.0865991669576522,0.5614965890609971,132.1950828708143,1,3,0
0,0,0,0,0,0,0,0,19,0,1,0.8416681428221822,3.325675192428509,0.9263303112160529,102.38156216602121,0,5,0
0,0,0,0,0,1,0,0,19,0,1,0.12686057524158312,2.53722839843336,0.10267391741330067,439.31297396009774,1,5,0
4,3,0,0,1,0,0,0,19,0,1,0.4360281551519849,3.021931819784913,0.7766597734378259,438.59719155623134,1,5,0
2,8,0,2,1,0,0,0,19,0,1,0.5945430735159184,2.988857951825861,0.34045507829778276,318.02967905841246,1,3,0
1,20,0,3,1,0,0,0,19,0,1,0.5556356856576322,1.923013985481286,0.6425054569700559,83.17924085074529,1,4,0
21,34,0,13,13,0,0,0,19,0,1,0.40156230513969315,2.951099912661594,0.02765205029923523,141.0937077566207,0,5,1
7,1,0,2,0,0,0,0,19,0,1,0.05199300680632135,1.858018932945677,0.41138334858349546,224.5142101996272,1,4,0
